activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyAccMag-mean(),tGravityAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyAccMag-mean(),fBodyBodyAccJerkMag-mean(),fBodyBodyGyroMag-mean(),fBodyBodyGyroJerkMag-mean()
STANDING,0.27556818,-0.016979698,-0.11142918,0.95359464,-0.26348997,-0.011425851,0.076113384,0.01842771,-0.0060482131,-0.029461913,-0.084376762,0.10074789,-0.097122835,-0.039561886,-0.054821896,-0.99797237,-0.99797237,-0.99645316,-0.993472,-0.99869585,-0.99720497,-0.99029766,-0.99669495,-0.9966077,-0.9930446,-0.99488302,-0.99517802,-0.9982421,-0.995936,-0.99989278,-0.99947946,-0.99720378,-0.99957244
STANDING,0.27756171,-0.014318487,-0.10787724,0.95313551,-0.2634369,-0.012458678,0.075342269,0.018055718,-0.0049718288,-0.029814933,-0.078706495,0.093773469,-0.096999665,-0.039383672,-0.055209671,-0.99844133,-0.99844133,-0.99547632,-0.99698274,-0.99843291,-0.99719829,-0.99261084,-0.99417669,-0.99612215,-0.99357857,-0.99215543,-0.99678336,-0.99846765,-0.99695895,-0.99725253,-0.99832359,-0.9988685,-0.99904676
STANDING,0.27715238,-0.017983328,-0.10660117,0.95318325,-0.26189643,-0.012015606,0.073413536,0.0045245992,-0.005894406,-0.02917889,-0.07955402,0.094585279,-0.097217687,-0.040646212,-0.054870288,-0.997891,-0.997891,-0.99306888,-0.99707363,-0.99818838,-0.99657474,-0.98697802,-0.99542528,-0.9958259,-0.98689999,-0.99113965,-0.99638039,-0.99844454,-0.99640039,-0.99671069,-0.99449599,-0.99852538,-0.99842415
STANDING,0.2756763,-0.021264234,-0.11080122,0.95309294,-0.26245862,-0.011512171,0.076943687,0.005482978,0.0016020823,-0.028153699,-0.076118947,0.088998758,-0.097980589,-0.039427698,-0.055537897,-0.99589346,-0.99589346,-0.99222923,-0.99762227,-0.99852925,-0.9975464,-0.9864129,-0.99403597,-0.99630977,-0.98291315,-0.99221625,-0.9970942,-0.99788171,-0.99467877,-0.99596298,-0.99258499,-0.99824461,-0.99896566
STANDING,0.2792002,-0.017714427,-0.10916135,0.95273161,-0.26500697,-0.012703514,0.078642693,0.016503342,-4.8515198e-05,-0.027220935,-0.069195151,0.079055228,-0.097053649,-0.039995777,-0.059039117,-0.99521534,-0.99521534,-0.99337454,-0.99736198,-0.99832144,-0.99750264,-0.98498699,-0.98999238,-0.9965272,-0.98644595,-0.99045005,-0.99763528,-0.99799155,-0.9942121,-0.99508421,-0.99429146,-0.99803662,-0.99872646
STANDING,0.28171549,-0.011910678,-0.10287513,0.9532188,-0.2650432,-0.013126421,0.074924981,0.0099539071,0.00068788567,-0.024960701,-0.071607144,0.080856127,-0.096984078,-0.040981257,-0.056018736,-0.99419344,-0.99419344,-0.99333286,-0.99569879,-0.99740976,-0.99865677,-0.98672372,-0.99260252,-0.99694736,-0.98576146,-0.9908238,-0.99512261,-0.99756262,-0.99341683,-0.99427863,-0.99444815,-0.99721689,-0.99873615
STANDING,0.27899267,-0.014531029,-0.10659617,0.95419361,-0.26194319,-0.011180786,0.074219489,0.0044872377,0.0069293456,-0.027372739,-0.0753043,0.088552726,-0.097154466,-0.039321883,-0.051857918,-0.9957494,-0.9957494,-0.99251624,-0.99526631,-0.99717187,-0.99747202,-0.9852728,-0.99227953,-0.99654528,-0.98709855,-0.9903284,-0.99272051,-0.99733625,-0.99325176,-0.99363919,-0.99439824,-0.99674532,-0.99838463
STANDING,0.27573444,-0.01801884,-0.10677578,0.95458893,-0.26049928,-0.0099594009,0.073460968,0.01837229,0.001436324,-0.030529617,-0.074705186,0.089415593,-0.10226052,-0.040127012,-0.052669203,-0.9985525,-0.9985525,-0.99338553,-0.99582615,-0.99717422,-0.99898187,-0.98994616,-0.99251428,-0.99736314,-0.98910225,-0.98919841,-0.99206061,-0.99732034,-0.99534292,-0.99638609,-0.99322754,-0.99660807,-0.99796927
SITTING,0.14450396,0.18926326,0.062769317,0.87409866,0.042479149,0.33309449,0.13805762,-0.34777099,-0.33527233,-0.046489666,-0.28289794,0.22948437,-0.11571413,-0.066663019,0.01633599,-0.5543692,-0.5543692,-0.97526798,-0.8738801,-0.99023484,-0.92128754,-0.43277861,-0.61401743,-0.98209043,-0.96914184,-0.9815657,-0.967536,-0.9690438,-0.89992251,-0.44662992,-0.97565857,-0.97506987,-0.98331724
SITTING,0.28725164,-0.037455064,-0.14597431,0.83566368,0.16067501,0.39982173,0.089548399,-0.034317974,0.0030597368,-0.04840838,-0.23917386,0.24705037,-0.094242126,-0.022414444,-0.06697056,-0.93459377,-0.93459377,-0.99288968,-0.89520271,-0.99808771,-0.98612352,-0.9319656,-0.97975316,-0.99252438,-0.98909638,-0.99178965,-0.9938543,-0.97978496,-0.97820971,-0.95362658,-0.99476974,-0.96970623,-0.99858976
SITTING,0.2799976,-0.019484036,-0.10572355,0.83695957,0.15187734,0.38646765,0.071215441,0.044244119,0.020358157,-0.039411936,-0.16674787,0.18301929,-0.095291208,-0.026020031,-0.078193929,-0.97699498,-0.97699498,-0.99423479,-0.94096567,-0.99886254,-0.99293691,-0.95749137,-0.98337133,-0.99433646,-0.99333255,-0.99017788,-0.99528558,-0.98342481,-0.96993296,-0.97670695,-0.99398527,-0.96972021,-0.99897315
SITTING,0.22184689,0.034107675,-0.12361242,0.83878762,0.15070183,0.38345181,-0.013591322,0.12068585,0.22870415,-0.037731641,0.021333829,0.076579313,-0.016521407,-0.065023681,-0.15063907,-0.81575864,-0.81575864,-0.91387886,-0.68190845,-0.9175591,-0.80764453,-0.76550533,-0.67628885,-0.88214836,-0.85881998,-0.90403706,-0.74866144,-0.69737845,-0.65352471,-0.61264851,-0.86032147,-0.60433533,-0.87086437
SITTING,-0.041701306,0.17510248,0.025551778,0.81080506,0.19559534,0.38713197,0.050456562,0.090830365,0.0053317431,-0.0038232806,0.019187316,-0.050212092,-0.095521677,-0.067817006,-0.040522627,-0.50739668,-0.50739668,-0.86678801,-0.59287987,-0.88878839,-0.81335631,-0.70656744,-0.70433301,-0.8667756,-0.84357581,-0.89207213,-0.77404985,-0.6872257,-0.68464064,-0.68219367,-0.85131788,-0.65163072,-0.87238357
SITTING,0.013903671,0.15329608,0.016242945,0.70308608,0.31406786,0.43977403,0.17843808,-0.11966443,-0.25914034,-0.0045972195,-0.15669611,0.060405191,-0.18174043,-0.014079617,0.047204388,-0.62102725,-0.62102725,-0.94302661,-0.85361742,-0.9660986,-0.85010909,-0.76166325,-0.72770498,-0.92109636,-0.93762977,-0.94925418,-0.88630279,-0.91679646,-0.78006986,-0.69185852,-0.91377977,-0.85722556,-0.94761761
SITTING,0.30368927,-0.0042428053,-0.15085028,0.6182581,0.40950272,0.4812985,0.098998778,-0.074612565,-0.0073366086,-0.042681542,-0.15263343,0.20315388,-0.10305335,-0.011939118,-0.062791658,-0.91595384,-0.91595384,-0.99107291,-0.93617751,-0.99314699,-0.9677791,-0.87902803,-0.98069583,-0.98835635,-0.98103161,-0.99519463,-0.9939928,-0.97374029,-0.98158671,-0.90549594,-0.99033636,-0.96910523,-0.98956557
SITTING,0.29075969,-0.02403476,-0.11673889,0.6220655,0.41986657,0.46862799,0.062975489,0.03415889,0.033170611,-0.041556713,-0.11325798,0.1566043,-0.095537878,-0.035066258,-0.068364914,-0.97480504,-0.97480504,-0.99684513,-0.96385423,-0.99679493,-0.98339322,-0.97465043,-0.97488987,-0.99375401,-0.99063849,-0.99841352,-0.9980739,-0.9912576,-0.98090949,-0.96861566,-0.99554762,-0.98475673,-0.9958058
SITTING,0.27090823,-0.014412968,-0.10652245,0.62745102,0.41503721,0.46423103,0.075591498,0.011694892,-0.0072211967,-0.035457677,-0.091001714,0.11779396,-0.095751535,-0.036409127,-0.065751415,-0.99523836,-0.99523836,-0.99763638,-0.98430476,-0.99703141,-0.99597643,-0.99340829,-0.99489744,-0.99732906,-0.99224316,-0.99601381,-0.99696281,-0.99334008,-0.98624004,-0.99683806,-0.99778629,-0.991537,-0.99608502
SITTING,0.2795534,-0.017001147,-0.11051668,0.62532313,0.41648854,0.46494774,0.072773826,0.0035293806,-0.00060033363,-0.030919137,-0.074625079,0.094283835,-0.096390151,-0.03903317,-0.061621011,-0.99906744,-0.99906744,-0.99661376,-0.99388844,-0.99658655,-0.99612732,-0.99272576,-0.99818451,-0.99670618,-0.99155288,-0.99688883,-0.99872231,-0.99296995,-0.99091693,-0.99835502,-0.99779214,-0.99410838,-0.99603174
SITTING,0.27635864,-0.016138088,-0.10803259,0.62577398,0.4168573,0.46439573,0.076218027,0.0094053857,-0.0080907158,-0.028201987,-0.072296089,0.084889322,-0.09732419,-0.042724214,-0.056653466,-0.9980118,-0.9980118,-0.99594417,-0.99663124,-0.99648651,-0.99529816,-0.99169066,-0.99619448,-0.99502795,-0.99064115,-0.99663253,-0.99794548,-0.99445974,-0.99484406,-0.99642627,-0.99760323,-0.99582391,-0.99596914
SITTING,0.23715407,0.0078251224,-0.12283791,0.89093772,0.11359108,0.33032214,0.075301588,0.082650327,-0.0089599647,-0.22503946,-0.13315886,-0.59416576,-0.076136273,-0.023511625,0.048746095,-0.92623334,-0.92623334,-0.98365142,-0.62607513,-0.99269133,-0.98333264,-0.89914658,-0.97708524,-0.98365156,-0.96959332,-0.98323096,-0.95825574,-0.9788201,-0.84816728,-0.9452631,-0.9795682,-0.88993038,-0.9936382
SITTING,0.2731084,0.0065181116,-0.10947182,0.87653997,0.12558056,0.32520586,0.084520112,-0.018946735,0.0076682065,-0.14933808,-0.10757556,-0.28657183,-0.060468253,-0.047491065,0.053835275,-0.96816289,-0.96816289,-0.9923627,-0.78814522,-0.99529654,-0.98981469,-0.95409312,-0.99134764,-0.99075219,-0.99066458,-0.99097901,-0.94008916,-0.989201,-0.83844239,-0.96858175,-0.99263806,-0.87774284,-0.99561812
SITTING,0.28150539,-0.018434859,-0.11139287,0.87482213,0.14006721,0.32441057,0.082081964,-0.0058534975,0.0032024153,-0.079366112,-0.094869929,-0.040538466,-0.074240872,-0.03881165,0.0044609208,-0.99295106,-0.99295106,-0.9934185,-0.92159819,-0.99658889,-0.99443506,-0.9848406,-0.99008845,-0.99449871,-0.99273746,-0.99029847,-0.96068647,-0.99124222,-0.91150016,-0.99597166,-0.99454495,-0.93017017,-0.99665915
SITTING,0.27843225,-0.019654302,-0.10797029,0.8764618,0.1392361,0.32357956,0.07268307,0.019739112,0.004014346,-0.037824733,-0.07652653,0.074576303,-0.086175374,-0.040941551,-0.041286479,-0.9934379,-0.9934379,-0.99298342,-0.9823882,-0.99707243,-0.99263436,-0.98576419,-0.99157404,-0.9929579,-0.99115707,-0.99096366,-0.9815204,-0.99348002,-0.98001141,-0.9936202,-0.9923338,-0.98615395,-0.99589482
SITTING,0.2733796,-0.0099401064,-0.10839283,0.87645385,0.13843401,0.3233988,0.072130253,0.019920529,-0.0014860567,-0.0210748,-0.072633665,0.11579647,-0.093413419,-0.040875199,-0.043482017,-0.99091407,-0.99091407,-0.99379982,-0.98533998,-0.99734824,-0.9941993,-0.98765983,-0.99277646,-0.99360419,-0.99067982,-0.9917045,-0.99316069,-0.99483197,-0.98359383,-0.99313905,-0.99341205,-0.99192262,-0.99675725
SITTING,0.27905615,-0.01626097,-0.11281565,0.87538094,0.14222283,0.32351271,0.076807626,-0.0042927307,-0.0069884353,-0.01749462,-0.073362144,0.12893616,-0.098402276,-0.036623752,-0.052670226,-0.98754731,-0.98754731,-0.99413667,-0.98075358,-0.99779527,-0.99498345,-0.9811016,-0.9906193,-0.9949542,-0.99074368,-0.99091536,-0.99872962,-0.99553502,-0.99097407,-0.9933422,-0.99377944,-0.99468302,-0.99840125
SITTING,0.2785991,-0.019910142,-0.1111806,0.87579788,0.14258451,0.32194771,0.077934405,0.01488802,0.012086099,-0.020494785,-0.069807644,0.1068855,-0.099644305,-0.04146569,-0.064887957,-0.99012264,-0.99012264,-0.99493458,-0.98832457,-0.99748502,-0.99404402,-0.98542913,-0.99060927,-0.99322057,-0.98988184,-0.99425932,-0.99710762,-0.99499794,-0.98653404,-0.99472515,-0.99548811,-0.99263043,-0.99764281
SITTING,0.27328142,-0.011127209,-0.10634926,0.87599536,0.14162959,0.3204761,0.071543556,0.019647298,-0.0037668634,-0.024644144,-0.070023979,0.092631918,-0.099876097,-0.044019406,-0.055598998,-0.99302412,-0.99302412,-0.99568683,-0.99356422,-0.99712892,-0.99461052,-0.98909018,-0.99548767,-0.99312713,-0.99334792,-0.99681868,-0.9978399,-0.99376198,-0.99140479,-0.99812925,-0.99752566,-0.99594138,-0.99707467
SITTING,0.27853812,-0.016173432,-0.10970656,0.87478155,0.14485798,0.32053935,0.074515662,0.0092694454,-0.010291722,-0.02633867,-0.074526058,0.092148536,-0.10051458,-0.038433452,-0.057589453,-0.99414636,-0.99414636,-0.99431393,-0.99465856,-0.99745873,-0.99558307,-0.98676236,-0.99486711,-0.99398429,-0.98974683,-0.99521838,-0.99784433,-0.99491883,-0.99111527,-0.99760147,-0.99779274,-0.99603154,-0.99811099
SITTING,0.27746121,-0.017491016,-0.10635945,0.87474639,0.14560336,0.32038708,0.07818778,0.0090189325,0.012872972,-0.028021481,-0.07403317,0.081238251,-0.099510909,-0.038919699,-0.058039297,-0.99354892,-0.99354892,-0.99348023,-0.99552574,-0.99758041,-0.99492259,-0.98750126,-0.99196132,-0.99326968,-0.98978356,-0.99254848,-0.99751911,-0.99549016,-0.99190446,-0.99551766,-0.9965707,-0.99702378,-0.99823529
SITTING,0.27394057,-0.013147584,-0.10543517,0.8742316,0.14572717,0.32162961,0.078228258,0.0054201733,0.0013550663,-0.028699232,-0.075571862,0.08489365,-0.096399772,-0.043673429,-0.046565566,-0.99264098,-0.99264098,-0.9950409,-0.99504293,-0.99747144,-0.99475289,-0.99135022,-0.99126636,-0.9937044,-0.99379154,-0.99288764,-0.99760802,-0.99579728,-0.98942503,-0.99490902,-0.99412111,-0.99644924,-0.99796048
SITTING,0.27930326,-0.020521383,-0.11323643,0.87324201,0.14758583,0.32233576,0.073647802,0.0083841697,-0.0050818355,-0.028006084,-0.07630627,0.092467106,-0.097373481,-0.037230976,-0.056344653,-0.99205145,-0.99205145,-0.9959885,-0.99441055,-0.99706115,-0.99527834,-0.98862922,-0.99509609,-0.99410158,-0.99230792,-0.99450103,-0.99748773,-0.99486621,-0.9901195,-0.99634885,-0.99602589,-0.99572813,-0.99765287
SITTING,0.2790872,-0.019083242,-0.10588882,0.87410872,0.1456773,0.32087334,0.06886822,0.020224021,0.0069050846,-0.028211664,-0.072544173,0.080864612,-0.10231372,-0.047165727,-0.05642873,-0.99147471,-0.99147471,-0.99400136,-0.9936703,-0.9970486,-0.99296524,-0.98424139,-0.99532656,-0.99257629,-0.99134531,-0.99359384,-0.99657618,-0.99369114,-0.99026592,-0.99593391,-0.99573563,-0.99442502,-0.99730213
LAYING,0.40347433,-0.015074404,-0.11816739,-0.25504375,0.77465873,0.58977655,0.023446864,0.00081333847,0.052811325,0.031551954,-0.13199514,0.54327885,-0.11906637,-0.048786067,-0.15544951,-0.90512291,-0.90512291,-0.96035654,-0.77756178,-0.97326441,-0.92631396,-0.88694847,-0.92879208,-0.94917576,-0.89800411,-0.9729599,-0.95217596,-0.93313376,-0.83554013,-0.87510957,-0.91028972,-0.87599774,-0.9524838
LAYING,0.27837321,-0.020560964,-0.096824565,-0.21014776,0.7739047,0.58511978,0.067178002,0.015637893,-0.016186186,0.0092571098,-0.078793121,0.25756479,-0.11001902,-0.036833082,-0.12362339,-0.98744609,-0.98744609,-0.99274198,-0.91521896,-0.99750843,-0.98687443,-0.98900774,-0.98337917,-0.99288837,-0.99011125,-0.99079124,-0.98159156,-0.99396328,-0.8983206,-0.98218097,-0.99251304,-0.93249135,-0.99853716
LAYING,0.27655526,-0.01786855,-0.10762126,-0.20876483,0.77171208,0.58994727,0.082498475,0.0083569472,0.00023418251,-0.013424389,-0.075370833,0.10054482,-0.10579546,-0.041967089,-0.090942119,-0.99798763,-0.99798763,-0.99513057,-0.97340095,-0.99775558,-0.99361477,-0.99425887,-0.99519692,-0.99448499,-0.99207153,-0.99217342,-0.98877868,-0.99688741,-0.95036266,-0.99506057,-0.99450594,-0.98466623,-0.9983322
LAYING,0.27957476,-0.017275722,-0.10948053,-0.20956406,0.77109662,0.59010467,0.073995503,0.01378212,-0.0073714967,-0.02495981,-0.076133944,0.043037574,-0.10094779,-0.040474051,-0.060445163,-0.99950449,-0.99950449,-0.99665137,-0.98209908,-0.99832501,-0.99574989,-0.99345251,-0.99726751,-0.99473789,-0.99311399,-0.99445967,-0.99625209,-0.99727311,-0.99015354,-0.99839081,-0.99620832,-0.99602715,-0.99854484
LAYING,0.27652699,-0.0168191,-0.10798311,-0.20874807,0.77103706,0.58941397,0.077122435,0.011380407,0.0034761282,-0.029550387,-0.068085138,0.045946749,-0.099619225,-0.040330798,-0.047750664,-0.99905773,-0.99905773,-0.99626463,-0.98441252,-0.99894081,-0.99651117,-0.99506101,-0.99473614,-0.99530794,-0.99405544,-0.99379202,-0.99850797,-0.99688993,-0.99403343,-0.99773322,-0.99699634,-0.99633125,-0.99885063
